	AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
0	NM_001003806	TARP	0.0	-	0.0	-
1	NM_017847	ODR4	39.0	2.44585290931	30.0	5.36998756534
2	NM_001143986	TLE6	3.0	0.365041485393	3.0	0.426412625171
3	NM_001143987	NBPF6	0.0	-	0.0	-
4	NM_001143980	CCDC154	0.0	-	0.0	-
5	NM_001003803	ATP5S	26.0	3.44319527902	19.0	7.16412692937
6	NM_001003800	BICD2	962.0	36.6349323133	706.0	67.1729402497
7	NM_016649	ESF1	11.0	0.835721012578	9.0	0.860332514869
8	NM_016647	THEM6	268.0	28.9229807296	91.0	35.4616164502
9	NM_016644	PRR16	29.0	3.78914363233	13.0	3.75454804361
10	NM_017417	GALNT8	2.0	0.2288847159	2.0	0.255312888425
11	NM_016642	SPTBN5	2.0	0.0416846258164	2.0	0.0443237068885
12	NM_001143989	NBPF4	2.0	0.195545765685	2.0	0.254913337739
13	NM_016640	MRPS30	213.0	31.1263364171	205.0	37.9458780422
14	NM_001304464	SNRPE	74.0	11.174751627	1.0	0.958174251854
15	NM_003279	TNNC2	63.0	22.6036260735	50.0	25.2934196918
16	NM_001012980	SATL1	0.0	-	0.0	-
17	NM_001304467	EEF1AKMT2	75.0	5.0068531603	16.0	6.08933169403
18	NM_001080825	TMEM120B	142.0	4.61990541407	40.0	9.58174251854
19	NM_001008781	FAT3	952.0	12.21223192	923.0	16.4926636527
20	NM_017419	ASIC5	0.0	-	0.0	-
21	NM_001040	SHBG	1.0	0.185242179092	1.0	0.202096306222
22	NM_002223	ITPR2	12.0	0.233013844924	10.0	0.301424172493
23	NM_001143981	CHRDL1	0.0	-	0.0	-
24	NM_001253384	RPL15	74.0	4.48320062794	60.0	33.4704704415
25	NM_001145313	FSD1L	11.0	0.347694537704	7.0	1.07366041404
26	NM_205859	OR2K2	0.0	-	0.0	-
27	NM_018476	BEX1	0.0	-	0.0	-
28	NM_003363	USP4	63.0	3.73618188253	55.0	4.64674753882
29	NM_144585	SLC22A12	0.0	-	0.0	-
30	NM_205856	SPACA5	0.0	-	0.0	-
31	NM_207118	GTF2H5	30.0	0.979165512515	15.0	16.9676690433
32	NM_205853	MUSTN1	0.0	-	0.0	-
33	NM_205852	CLEC12B	0.0	-	0.0	-
34	NM_001282735	SPATS2L	1036.0	39.5949435093	764.0	111.312765502
35	NM_001355213	OR10D3	0.0	-	0.0	-
36	NM_001007531	NKAPL	1.0	0.14701229496	1.0	0.202096306222
37	NM_001282730	SUPT7L	198.0	10.2171526877	130.0	25.6363813147
38	NM_004108	FCN2	0.0	-	0.0	-
39	NM_004109	FDX1	71.0	5.49849281452	43.0	18.9304156245
