	AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
0	NM_001003806	TARP	0.0	-	0.0	-
1	NM_017847	ODR4	120.0	7.45353795377	93.0	16.4873351631
2	NM_001143986	TLE6	4.0	0.482054845084	4.0	0.563098387975
3	NM_001143987	NBPF6	0.0	-	0.0	-
4	NM_001143980	CCDC154	0.0	-	0.0	-
5	NM_001003803	ATP5S	95.0	12.4602685973	81.0	30.248941529
6	NM_001003800	BICD2	549.0	20.7065697001	501.0	47.2109648163
7	NM_016649	ESF1	74.0	5.56821311729	69.0	6.53263525979
8	NM_016647	THEM6	152.0	16.2467813159	132.0	50.9455857331
9	NM_016644	PRR16	62.0	8.02324866225	19.0	5.43479800522
10	NM_017417	GALNT8	0.0	-	0.0	-
11	NM_016642	SPTBN5	0.0	-	0.0	-
12	NM_001143989	NBPF4	0.0	-	0.0	-
13	NM_016640	MRPS30	294.0	42.5511426294	281.0	51.5148640585
14	NM_001304464	SNRPE	418.0	62.5169718622	3.0	2.84695920273
15	NM_003279	TNNC2	173.0	61.4750882176	148.0	74.1506144314
16	NM_001012980	SATL1	0.0	-	0.0	-
17	NM_001304467	EEF1AKMT2	213.0	14.0831137611	20.0	7.53867701658
18	NM_001080825	TMEM120B	49.0	1.57890613574	38.0	9.01537080865
19	NM_001008781	FAT3	580.0	7.36888164513	578.0	10.2289824214
20	NM_017419	ASIC5	0.0	-	0.0	-
21	NM_001040	SHBG	0.0	-	0.0	-
22	NM_002223	ITPR2	29.0	0.557717113148	22.0	0.656774452148
23	NM_001143981	CHRDL1	0.0	-	0.0	-
24	NM_001253384	RPL15	121.0	7.26034599556	119.0	65.7465578439
25	NM_001145313	FSD1L	27.0	0.84524856019	15.0	2.2786396632
26	NM_205859	OR2K2	0.0	-	0.0	-
27	NM_018476	BEX1	0.0	-	0.0	-
28	NM_003363	USP4	202.0	11.8646333764	184.0	15.3964183716
29	NM_144585	SLC22A12	0.0	-	0.0	-
30	NM_205856	SPACA5	0.0	-	0.0	-
31	NM_207118	GTF2H5	120.0	3.87910551267	85.0	95.2281492581
32	NM_205853	MUSTN1	0.0	-	0.0	-
33	NM_205852	CLEC12B	0.0	-	0.0	-
34	NM_001282735	SPATS2L	1198.0	45.3473886461	1039.0	149.927967793
35	NM_001355213	OR10D3	0.0	-	0.0	-
36	NM_001007531	NKAPL	0.0	-	0.0	-
37	NM_001282730	SUPT7L	268.0	13.6966696174	128.0	24.9999323049
38	NM_004108	FCN2	0.0	-	0.0	-
39	NM_004109	FDX1	95.0	7.28659130335	78.0	34.0096207462
40	NM_004106	FCER1G	1.0	0.409461137449	1.0	0.92717062158
41	NM_001291976	SPARCL1	2.0	0.160312376437	1.0	0.149377489032
42	NM_130759	GIMAP1	0.0	-	0.0	-
43	NM_181776	SLC36A2	0.0	-	0.0	-
44	NM_001462	FPR2	0.0	-	0.0	-
45	NM_001463	FRZB	0.0	-	0.0	-
46	NM_004101	F2RL2	37.0	2.61116555631	28.0	6.02290035778
47	NM_000331	SAA1	0.0	-	0.0	-
48	NM_007102	GUCA2B	0.0	-	0.0	-
49	NM_007101	SARDH	44.0	3.15298413332	42.0	3.68648688928
50	NM_007100	ATP5ME	512.0	339.451135624	289.0	333.026441977
51	NM_000334	SCN4A	0.0	-	0.0	-
52	NM_007105	SLC22A18AS	1.0	0.105259474655	1.0	0.317574189281
53	NM_181435	C1QTNF3	0.0	-	0.0	-
54	NM_000339	SLC12A3	0.0	-	0.0	-
55	NM_000486	AQP2	0.0	-	0.0	-
56	NM_000485	APRT	473.0	141.836424716	432.0	192.523649953
57	NM_007108	ELOB	1149.0	280.856838924	1140.0	772.746069313
58	NM_000483	APOC2	2.0	0.663899951255	2.0	1.58164400152
59	NM_000482	APOA4	0.0	-	0.0	-
60	NM_000481	AMT	0.0	-	0.0	-
61	NM_016643	ZNF771	102.0	16.9643548369	68.0	17.2488723184
62	NM_030615	KIF25	0.0	-	0.0	-
63	NM_001350532	SNX14	161.0	10.2205237905	117.0	9.74965883994
64	NM_001350531	LARP1B	25.0	1.39653469663	9.0	1.14326708141
65	NM_001350530	MIER1	275.0	11.7533859703	254.0	33.9778049679
66	NM_001320272	PLD5	7.0	0.5114555331	2.0	0.362534130685
67	NM_030613	ZFP2	0.0	-	0.0	-
68	NM_014177	TIMM21	124.0	19.5612451087	86.0	27.8598015689
69	NM_020992	PDLIM1	61.0	9.34271105454	47.0	11.4884868838
70	NM_005802	TOPORS	219.0	12.6997712818	193.0	14.8834817466
71	NM_005258	GCHFR	0.0	-	0.0	-
72	NM_001012964	KLK6	0.0	-	0.0	-
73	NM_003824	FADD	200.0	26.1188917682	147.0	56.7348568392
74	NM_003825	SNAP23	251.0	22.998816581	212.0	80.6638440774
75	NM_003826	NAPG	184.0	11.9855832923	154.0	39.6876421339
76	NM_003827	NAPA	692.0	90.0312582284	568.0	154.787376473
77	NM_003820	TNFRSF14	9.0	0.622086201111	4.0	1.13611047996
78	NM_003821	RIPK2	141.0	13.1995381218	56.0	8.34967702095
79	NM_003795	SNX3	611.0	84.0095603375	409.0	202.401915507
80	NM_003823	TNFRSF6B	3.0	0.62854943437	2.0	0.535972385897
