AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	69.0	4.61623512907	55.0	10.502382157
NM_001143986	TLE6	0.0	-	0.0	-
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	1.0	0.11896395705	1.0	0.130064885178
NM_001003803	ATP5S	26.0	3.67311695247	23.0	9.25146711053
NM_001003800	BICD2	299.0	12.1468763932	278.0	28.2167867256
NM_016649	ESF1	70.0	5.67335264078	66.0	6.73039983301
NM_016647	THEM6	36.0	4.14461178281	28.0	11.6398737434
NM_016644	PRR16	25.0	3.48462606814	6.0	1.84858177232
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	1.0	0.0222340723276	1.0	0.0236417260677
NM_001143989	NBPF4	2.0	0.208603465303	1.0	0.135967673394
NM_016640	MRPS30	121.0	18.8628311109	114.0	22.5106844002
NM_001304464	SNRPE	78.0	12.5653290061	4.0	4.08862791995
NM_003279	TNNC2	37.0	14.1616022117	32.0	17.2687390408
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	77.0	5.48362084755	19.0	7.71394169476
NM_001080825	TMEM120B	28.0	0.971797714661	26.0	6.64402036991
NM_001008781	FAT3	292.0	3.9958948249	289.0	5.50883857248
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	0.0	-	0.0	-
NM_002223	ITPR2	9.0	0.186430125492	9.0	0.289396776347
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	35.0	2.26202604671	32.0	19.0429245587
NM_001145313	FSD1L	15.0	0.505789191261	8.0	1.30897692352
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	120.0	7.59174844359	110.0	9.91407444282
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	53.0	1.84537157154	41.0	49.4752371563
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	1075.0	43.8289976754	924.0	143.613969961
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	2.0	0.313658279057	2.0	0.431182845156
NM_001282730	SUPT7L	118.0	6.49560792562	61.0	12.8326487681
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	24.0	1.98275775516	15.0	7.04459540261
NM_004106	FCER1G	0.0	-	0.0	-
NM_001291976	SPARCL1	0.0	-	0.0	-
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	26.0	1.97634901642	20.0	4.63377830927
NM_000331	SAA1	0.0	-	0.0	-
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	10.0	0.771838998805	9.0	0.85087060902
NM_007100	ATP5ME	139.0	99.261244262	71.0	88.1245339174
NM_000334	SCN4A	0.0	-	0.0	-
NM_007105	SLC22A18AS	0.0	-	0.0	-
NM_181435	C1QTNF3	2.0	0.1362519759	2.0	0.543020895618
NM_000339	SLC12A3	0.0	-	0.0	-
NM_000486	AQP2	0.0	-	0.0	-
NM_000485	APRT	127.0	41.0192736021	90.0	43.2016624138
NM_007108	ELOB	275.0	72.4027860824	264.0	192.74960194
NM_000483	APOC2	0.0	-	0.0	-
NM_000482	APOA4	0.0	-	0.0	-
NM_000481	AMT	0.0	-	0.0	-
NM_016643	ZNF771	29.0	5.19508650653	24.0	6.55723345652
NM_030615	KIF25	0.0	-	0.0	-
NM_001350532	SNX14	74.0	5.05983793608	55.0	4.93655359653
NM_001350531	LARP1B	11.0	0.661853723191	4.0	0.547296650701
NM_001350530	MIER1	225.0	10.3578694325	204.0	29.3933698722
NM_001320272	PLD5	0.0	-	0.0	-
NM_030613	ZFP2	0.0	-	0.0	-
NM_014177	TIMM21	47.0	7.98601786515	33.0	11.5146599553
NM_020992	PDLIM1	23.0	3.7942725871	22.0	5.79222288659
NM_005802	TOPORS	73.0	4.55965784387	69.0	5.73131040882
NM_005258	GCHFR	0.0	-	0.0	-
NM_001012964	KLK6	0.0	-	0.0	-
NM_003824	FADD	70.0	9.84646632097	46.0	19.1226497213
NM_003825	SNAP23	107.0	10.5602246115	83.0	34.0156485557
NM_003826	NAPG	78.0	5.4725982051	66.0	18.3204493857
