	AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
0	NM_001003806	TARP	0.0	-	0.0	-
1	NM_017847	ODR4	83.0	6.19422984856	62.0	13.2064840318
2	NM_001143986	TLE6	2.0	0.289597267436	2.0	0.338284649803
3	NM_001143987	NBPF6	0.0	-	0.0	-
4	NM_001143980	CCDC154	0.0	-	0.0	-
5	NM_001003803	ATP5S	91.0	14.3407938981	83.0	37.2418510648
6	NM_001003800	BICD2	427.0	19.3504777631	389.0	44.043594385
7	NM_016649	ESF1	61.0	5.51495492751	52.0	5.91521679902
8	NM_016647	THEM6	106.0	13.6131181933	89.0	41.2715365694
9	NM_016644	PRR16	57.0	8.86260557264	15.0	5.15524213663
10	NM_017417	GALNT8	0.0	-	0.0	-
11	NM_016642	SPTBN5	1.0	0.0248021544405	1.0	0.0263723951479
12	NM_001143989	NBPF4	0.0	-	0.0	-
13	NM_016640	MRPS30	224.0	38.9529109195	216.0	47.5781983373
14	NM_001304464	SNRPE	405.0	72.778764453	3.0	3.42065478242
15	NM_003279	TNNC2	116.0	49.5266610201	101.0	60.7998370747
16	NM_001012980	SATL1	0.0	-	0.0	-
17	NM_001304467	EEF1AKMT2	144.0	11.4395668133	18.0	8.1520277525
18	NM_001080825	TMEM120B	36.0	1.39376879284	31.0	8.83669152126
19	NM_001008781	FAT3	415.0	6.33504475508	413.0	8.78178193191
20	NM_017419	ASIC5	0.0	-	0.0	-
21	NM_001040	SHBG	0.0	-	0.0	-
22	NM_002223	ITPR2	19.0	0.439033416007	14.0	0.502168664086
23	NM_001143981	CHRDL1	0.0	-	0.0	-
24	NM_001253384	RPL15	93.0	6.70475478677	90.0	59.7443129807
25	NM_001145313	FSD1L	17.0	0.63943676075	10.0	1.82520813877
26	NM_205859	OR2K2	0.0	-	0.0	-
27	NM_018476	BEX1	0.0	-	0.0	-
28	NM_003363	USP4	180.0	12.7029170318	171.0	17.191983839
29	NM_144585	SLC22A12	0.0	-	0.0	-
30	NM_205856	SPACA5	0.0	-	0.0	-
31	NM_207118	GTF2H5	98.0	3.80631236142	72.0	96.9185521686
32	NM_205853	MUSTN1	0.0	-	0.0	-
33	NM_205852	CLEC12B	0.0	-	0.0	-
34	NM_001282735	SPATS2L	1038.0	47.2085674102	878.0	152.22627693
35	NM_001355213	OR10D3	0.0	-	0.0	-
36	NM_001007531	NKAPL	1.0	0.174943234961	1.0	0.240492685282
37	NM_001282730	SUPT7L	242.0	14.8601623811	122.0	28.6296933767
38	NM_004108	FCN2	0.0	-	0.0	-
39	NM_004109	FDX1	90.0	8.29413917133	71.0	37.1957686701
40	NM_004106	FCER1G	0.0	-	0.0	-
41	NM_001291976	SPARCL1	1.0	0.0963085977164	1.0	0.179478800312
42	NM_130759	GIMAP1	0.0	-	0.0	-
43	NM_181776	SLC36A2	0.0	-	0.0	-
44	NM_001462	FPR2	0.0	-	0.0	-
45	NM_001463	FRZB	0.0	-	0.0	-
46	NM_004101	F2RL2	39.0	3.30693222623	31.0	8.01193364594
47	NM_000331	SAA1	1.0	0.407791944609	1.0	0.787955708688
48	NM_007102	GUCA2B	0.0	-	0.0	-
49	NM_007101	SARDH	42.0	3.61614971076	38.0	4.0075135826
50	NM_007100	ATP5ME	412.0	328.195425974	218.0	301.832062468
51	NM_000334	SCN4A	2.0	0.0745049728394	2.0	0.105518293052
52	NM_007105	SLC22A18AS	0.0	-	0.0	-
53	NM_181435	C1QTNF3	0.0	-	0.0	-
54	NM_000339	SLC12A3	0.0	-	0.0	-
55	NM_000486	AQP2	0.0	-	0.0	-
56	NM_000485	APRT	395.0	142.315346121	355.0	190.088873038
57	NM_007108	ELOB	909.0	266.966557337	894.0	728.110803687
58	NM_000483	APOC2	1.0	0.398841778472	1.0	0.950181884006
59	NM_000482	APOA4	0.0	-	0.0	-
60	NM_000481	AMT	0.0	-	0.0	-
61	NM_016643	ZNF771	68.0	13.5885805102	41.0	12.4957881727
62	NM_030615	KIF25	0.0	-	0.0	-
63	NM_001350532	SNX14	125.0	9.53422273432	86.0	8.61053252738
64	NM_001350531	LARP1B	18.0	1.20812599656	4.0	0.610510564842
65	NM_001350530	MIER1	270.0	13.8650701619	242.0	38.8960026945
66	NM_001320272	PLD5	2.0	0.175577087262	0.0	-
67	NM_030613	ZFP2	1.0	0.119751094113	1.0	0.209780415949
68	NM_014177	TIMM21	77.0	14.5946450788	57.0	22.1861745928
69	NM_020992	PDLIM1	44.0	8.09699296599	40.0	11.7477032932
70	NM_005802	TOPORS	102.0	7.10689598936	94.0	8.70969780483
71	NM_005258	GCHFR	3.0	1.22337583383	2.0	2.28043652162
72	NM_001012964	KLK6	0.0	-	0.0	-
73	NM_003824	FADD	156.0	24.4780800944	111.0	51.4734894293
74	NM_003825	SNAP23	197.0	21.6883242452	165.0	75.431892018
75	NM_003826	NAPG	144.0	11.2702057973	120.0	37.1572723969
76	NM_003827	NAPA	651.0	101.764479777	533.0	174.518879412
77	NM_003820	TNFRSF14	7.0	0.581345214379	1.0	0.341262507636
