AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	103.0	5.7580786455	86.0	13.7222433134
NM_001143986	TLE6	2.0	0.216932990396	2.0	0.253403981801
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	111.0	13.1034580931	99.0	33.2751103602
NM_001003800	BICD2	574.0	19.4852890638	512.0	43.4244430869
NM_016649	ESF1	85.0	5.75654894292	84.0	7.15777021833
NM_016647	THEM6	105.0	10.1011819115	87.0	30.2211528631
NM_016644	PRR16	57.0	6.63884554781	14.0	3.60426727306
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	1.0	0.0185789236849	1.0	0.0197551675608
NM_001143989	NBPF4	0.0	-	0.0	-
NM_016640	MRPS30	318.0	41.4238215968	300.0	49.5001641722
NM_001304464	SNRPE	306.0	41.1909895189	0.0	-
NM_003279	TNNC2	225.0	71.9605910874	191.0	86.1282359635
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	180.0	10.7115109356	13.0	4.41029500102
NM_001080825	TMEM120B	89.0	2.58112706922	65.0	13.8794577973
NM_001008781	FAT3	649.0	7.42125630337	645.0	10.2736189791
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	0.0	-	0.0	-
NM_002223	ITPR2	30.0	0.51927375592	21.0	0.564250576057
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	149.0	8.0466917013	145.0	72.1029788628
NM_001145313	FSD1L	18.0	0.507168564352	12.0	1.64068340759
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	232.0	12.2645066959	226.0	17.0203884
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	69.0	2.00751400517	47.0	47.3918238464
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	1705.0	58.0870063539	1251.0	162.47388412
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	2.0	0.262094732079	2.0	0.360298961717
NM_001282730	SUPT7L	333.0	15.317347528	213.0	37.4427391947
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	73.0	5.03944619085	57.0	22.3687228368
NM_004106	FCER1G	0.0	-	0.0	-
NM_001291976	SPARCL1	2.0	0.14428666602	0.0	-
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	25.0	1.58793177572	17.0	3.29121091563
NM_000331	SAA1	0.0	-	0.0	-
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	47.0	3.03128041185	47.0	3.71296117186
NM_007100	ATP5ME	489.0	291.793296529	304.0	315.29247427
NM_000334	SCN4A	1.0	0.0279052815321	1.0	0.0395210891595
NM_007105	SLC22A18AS	2.0	0.189474312621	2.0	0.57165543926
NM_181435	C1QTNF3	1.0	0.0569264825818	1.0	0.226875752456
NM_000339	SLC12A3	0.0	-	0.0	-
NM_000486	AQP2	0.0	-	0.0	-
NM_000485	APRT	359.0	96.8902841716	326.0	130.760654675
NM_007108	ELOB	1301.0	286.22094928	1285.0	783.960583277
NM_000483	APOC2	0.0	-	0.0	-
NM_000482	APOA4	0.0	-	0.0	-
NM_000481	AMT	1.0	0.0989104097901	1.0	0.179703566302
NM_016643	ZNF771	134.0	20.0586232275	77.0	17.5793035865
NM_030615	KIF25	0.0	-	0.0	-
NM_001350532	SNX14	158.0	9.02741713865	120.0	9.0000298495
NM_001350531	LARP1B	26.0	1.30720655155	5.0	0.57165543926
