	AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
0	NM_001003806	TARP	0.0	-	0.0	-
1	NM_017847	ODR4	103.0	5.76570119298	86.0	13.7404088262
2	NM_001143986	TLE6	2.0	0.217220166401	2.0	0.253739438123
3	NM_001143987	NBPF6	0.0	-	0.0	-
4	NM_001143980	CCDC154	0.0	-	0.0	-
5	NM_001003803	ATP5S	111.0	13.1208044577	99.0	33.3191599685
6	NM_001003800	BICD2	574.0	19.5110836995	512.0	43.4819283871
7	NM_016649	ESF1	85.0	5.76416946538	84.0	7.16724567824
8	NM_016647	THEM6	105.0	10.1145538613	87.0	30.2611596408
9	NM_016644	PRR16	57.0	6.64763405497	14.0	3.60903860394
10	NM_017417	GALNT8	0.0	-	0.0	-
11	NM_016642	SPTBN5	1.0	0.0186035184736	1.0	0.0197813194618
12	NM_001143989	NBPF4	0.0	-	0.0	-
13	NM_016640	MRPS30	318.0	41.4786584732	300.0	49.5656925151
14	NM_001304464	SNRPE	306.0	41.245518172	0.0	-
15	NM_003279	TNNC2	225.0	72.055852555	191.0	86.2422525667
16	NM_001012980	SATL1	0.0	-	0.0	-
17	NM_001304467	EEF1AKMT2	180.0	10.7256908393	13.0	4.41613335181
18	NM_001080825	TMEM120B	89.0	2.58454396657	65.0	13.8978314307
19	NM_001008781	FAT3	649.0	7.43108056629	645.0	10.2872192012
20	NM_017419	ASIC5	0.0	-	0.0	-
21	NM_001040	SHBG	0.0	-	0.0	-
22	NM_002223	ITPR2	30.0	0.519961170785	21.0	0.56499753126
23	NM_001143981	CHRDL1	0.0	-	0.0	-
24	NM_001253384	RPL15	149.0	8.05734391592	145.0	72.1984288234
25	NM_001145313	FSD1L	18.0	0.507839954359	12.0	1.64285534513
26	NM_205859	OR2K2	0.0	-	0.0	-
27	NM_018476	BEX1	0.0	-	0.0	-
28	NM_003363	USP4	232.0	12.2807424562	226.0	17.042919999
29	NM_144585	SLC22A12	0.0	-	0.0	-
30	NM_205856	SPACA5	0.0	-	0.0	-
31	NM_207118	GTF2H5	69.0	2.01017155324	47.0	47.4545611672
32	NM_205853	MUSTN1	0.0	-	0.0	-
33	NM_205852	CLEC12B	0.0	-	0.0	-
