AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	81.0	1.72617531967	51.0	3.10210402313
NM_001143986	TLE6	3.0	0.124044175989	3.0	0.144898606973
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	31.0	1.39503195429	22.0	2.81881456713
NM_001003800	BICD2	1203.0	15.5675440867	883.0	28.5485803292
NM_016649	ESF1	22.0	0.567970099348	20.0	0.649662768353
NM_016647	THEM6	264.0	9.68158218817	99.0	13.1095108098
NM_016644	PRR16	32.0	1.4207812072	9.0	0.883264912718
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	2.0	0.0141647874768	2.0	0.0150615694867
NM_001143989	NBPF4	4.0	0.132896201353	3.0	0.129932553671
NM_016640	MRPS30	249.0	12.3646522411	241.0	15.1586994945
NM_001304464	SNRPE	106.0	5.43933967264	0.0	-
NM_003279	TNNC2	47.0	5.73019733391	37.0	6.3602388539
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	146.0	3.31200209348	33.0	4.26773794276
NM_001080825	TMEM120B	181.0	2.00104783289	39.0	3.17455800983
NM_001008781	FAT3	1209.0	5.27009630235	1163.0	7.06159768818
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	0.0	-	0.0	-
NM_002223	ITPR2	21.0	0.138565122602	15.0	0.153639714648
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	98.0	2.01751459855	67.0	12.7004621468
NM_001145313	FSD1L	50.0	0.53704334926	18.0	0.938157082435
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	1.0	0.0963189115957	0.0	-
NM_003363	USP4	86.0	1.73308581418	82.0	2.35415143404
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	48.0	0.532365921211	21.0	8.07205989679
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	1188.0	15.4287438344	880.0	43.5680820394
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	2.0	0.099912035855	2.0	0.137348059215
NM_001282730	SUPT7L	223.0	3.91024268224	141.0	9.44858204453
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	68.0	1.78948631445	39.0	5.83432282888
NM_004106	FCER1G	0.0	-	0.0	-
NM_001291976	SPARCL1	0.0	-	0.0	-
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	55.0	1.33172341754	25.0	1.84504226212
NM_000331	SAA1	0.0	-	0.0	-
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	68.0	1.67184759316	65.0	1.957471388
NM_007100	ATP5ME	173.0	39.3524767414	80.0	31.6292959221
NM_000334	SCN4A	0.0	-	0.0	-
NM_007105	SLC22A18AS	0.0	-	0.0	-
NM_181435	C1QTNF3	5.0	0.108503530836	5.0	0.432431780185
NM_000339	SLC12A3	0.0	-	0.0	-
NM_000486	AQP2	0.0	-	0.0	-
NM_000485	APRT	400.0	41.1533590065	258.0	39.449246157
NM_007108	ELOB	575.0	48.2226954873	486.0	113.028219251
NM_000483	APOC2	0.0	-	0.0	-
NM_000482	APOA4	0.0	-	0.0	-
NM_000481	AMT	4.0	0.150820893362	4.0	0.274016177543
NM_016643	ZNF771	95.0	5.42100046088	77.0	6.7013327445
NM_030615	KIF25	1.0	0.0549847031758	1.0	0.0718847634593
NM_001350532	SNX14	124.0	2.70077015285	95.0	2.71610043753
NM_001350531	LARP1B	22.0	0.42165093248	6.0	0.261502052899
NM_001350530	MIER1	241.0	3.53399564336	120.0	5.50758884216
NM_001320272	PLD5	3.0	0.0752055269887	0.0	-
NM_030613	ZFP2	1.0	0.0341955938202	0.0	-
NM_014177	TIMM21	88.0	4.7629513416	52.0	5.77965045966
