	AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
0	NM_001003806	TARP	0.0	-	0.0	-
1	NM_017847	ODR4	51.0	9.37593941398	39.0	20.4642352699
2	NM_001143986	TLE6	1.0	0.356697327912	1.0	0.416665639586
3	NM_001143987	NBPF6	0.0	-	0.0	-
4	NM_001143980	CCDC154	0.0	-	0.0	-
5	NM_001003803	ATP5S	35.0	13.5873648811	26.0	28.7383550859
6	NM_001003800	BICD2	246.0	27.4621361712	230.0	64.1499586928
7	NM_016649	ESF1	28.0	6.23599209097	26.0	7.28578016262
8	NM_016647	THEM6	39.0	12.3381983849	33.0	37.6972754973
9	NM_016644	PRR16	29.0	11.1075929406	7.0	5.92640383113
10	NM_017417	GALNT8	0.0	-	0.0	-
11	NM_016642	SPTBN5	3.0	0.183293073731	3.0	0.194897478761
12	NM_001143989	NBPF4	1.0	0.286613939355	1.0	0.373629751929
13	NM_016640	MRPS30	101.0	43.2661911957	97.0	52.633392986
14	NM_001304464	SNRPE	63.0	27.8885282882	0.0	-
15	NM_003279	TNNC2	30.0	31.5527856585	27.0	40.0387211803
16	NM_001012980	SATL1	1.0	0.332829105227	1.0	0.377171266165
17	NM_001304467	EEF1AKMT2	53.0	10.3719006628	8.0	8.92521164421
18	NM_001080825	TMEM120B	21.0	2.00282462362	17.0	11.9374705741
19	NM_001008781	FAT3	348.0	13.0862805475	340.0	17.8093023045
20	NM_017419	ASIC5	0.0	-	0.0	-
21	NM_001040	SHBG	0.0	-	0.0	-
22	NM_002223	ITPR2	12.0	0.683062768289	10.0	0.883602559151
23	NM_001143981	CHRDL1	0.0	-	0.0	-
24	NM_001253384	RPL15	26.0	4.61751899223	25.0	40.8817485416
25	NM_001145313	FSD1L	9.0	0.833924205696	8.0	3.59697795078
26	NM_205859	OR2K2	0.0	-	0.0	-
27	NM_018476	BEX1	0.0	-	0.0	-
28	NM_003363	USP4	91.0	15.820045955	84.0	20.8038906271
29	NM_144585	SLC22A12	0.0	-	0.0	-
30	NM_205856	SPACA5	0.0	-	0.0	-
31	NM_207118	GTF2H5	32.0	3.0617076546	23.0	76.2671731125
32	NM_205853	MUSTN1	0.0	-	0.0	-
33	NM_205852	CLEC12B	0.0	-	0.0	-
34	NM_001282735	SPATS2L	730.0	81.7865182461	587.0	250.708237103
35	NM_001355213	OR10D3	0.0	-	0.0	-
36	NM_001007531	NKAPL	0.0	-	0.0	-
37	NM_001282730	SUPT7L	90.0	13.614010792	58.0	33.5289730412
38	NM_004108	FCN2	0.0	-	0.0	-
39	NM_004109	FDX1	21.0	4.7674208949	15.0	19.3580603905
40	NM_004106	FCER1G	1.0	1.21192594661	0.0	-
41	NM_001291976	SPARCL1	0.0	-	0.0	-
42	NM_130759	GIMAP1	0.0	-	0.0	-
43	NM_181776	SLC36A2	0.0	-	0.0	-
44	NM_001462	FPR2	0.0	-	0.0	-
45	NM_001463	FRZB	0.0	-	0.0	-
46	NM_004101	F2RL2	24.0	5.01311100226	23.0	14.6432972376
47	NM_000331	SAA1	0.0	-	0.0	-
48	NM_007102	GUCA2B	0.0	-	0.0	-
49	NM_007101	SARDH	10.0	2.1209601257	10.0	2.59792613148
50	NM_007100	ATP5ME	136.0	266.876054479	84.0	286.499293779
51	NM_000334	SCN4A	1.0	0.0917678711657	1.0	0.129967017682
52	NM_007105	SLC22A18AS	1.0	0.311547731382	1.0	0.939958312924
53	NM_181435	C1QTNF3	1.0	0.187205497765	1.0	0.746091910883
54	NM_000339	SLC12A3	0.0	-	0.0	-
55	NM_000486	AQP2	0.0	-	0.0	-
56	NM_000485	APRT	124.0	110.055490795	112.0	147.734442464
57	NM_007108	ELOB	291.0	210.533571944	283.0	567.782213862
58	NM_000483	APOC2	0.0	-	0.0	-
59	NM_000482	APOA4	0.0	-	0.0	-
60	NM_000481	AMT	1.0	0.325271677769	1.0	0.590963889809
61	NM_016643	ZNF771	39.0	19.1984062842	19.0	14.2649019439
62	NM_030615	KIF25	0.0	-	0.0	-
63	NM_001350532	SNX14	43.0	8.07940033611	34.0	8.38582643638
64	NM_001350531	LARP1B	6.0	0.992033565718	4.0	1.50393330068
65	NM_001350530	MIER1	131.0	16.5716211079	115.0	45.5326406642
66	NM_001320272	PLD5	5.0	1.08129262447	1.0	0.536515531422
67	NM_030613	ZFP2	0.0	-	0.0	-
68	NM_014177	TIMM21	42.0	19.610447097	30.0	28.7649893353
69	NM_020992	PDLIM1	16.0	7.25314667796	15.0	10.8522459765
70	NM_005802	TOPORS	49.0	8.41029558782	45.0	10.2712461919
71	NM_005258	GCHFR	0.0	-	0.0	-
72	NM_001012964	KLK6	0.0	-	0.0	-
73	NM_003824	FADD	53.0	20.4863229497	45.0	51.4053756781
74	NM_003825	SNAP23	62.0	16.8146120923	51.0	57.4349999322
75	NM_003826	NAPG	52.0	10.0255472924	40.0	30.5111068987
76	NM_003827	NAPA	237.0	91.2638879377	198.0	159.703998222
77	NM_003820	TNFRSF14	4.0	0.818335600626	3.0	2.52200082552
78	NM_003821	RIPK2	37.0	10.251908965	19.0	8.38491463618
79	NM_003795	SNX3	136.0	55.3464544801	98.0	143.542590953
80	NM_003823	TNFRSF6B	5.0	3.10064170757	5.0	3.96593706782
81	NM_012181	FKBP8	231.0	92.1745638761	209.0	120.528084541
82	NM_012180	FBXO8	17.0	4.7507686249	7.0	5.22264337618
83	NM_012183	FOXD3	2.0	0.692696551691	2.0	0.996866018717
84	NM_012182	FOXB1	0.0	-	0.0	-
85	NM_001018088	VPS13C	47.0	2.30636249788	46.0	3.02630832962
86	NM_020437	ASPHD2	26.0	5.62102447801	12.0	7.7432241562
87	NM_012186	FOXE3	0.0	-	0.0	-
88	NM_020733	HEG1	75.0	5.86703992831	66.0	11.4019255846
89	NM_020731	AHRR	22.0	2.78400373814	17.0	5.63713888223
90	NM_020737	LRFN2	0.0	-	0.0	-
91	NM_001025780	ABHD17B	50.0	11.4893845757	23.0	19.0008182149
92	NM_001300829	CIRBP	338.0	136.466687285	279.0	223.527133569
