	AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
0	NM_001003806	TARP	0.0	-	0.0	-
1	NM_017847	ODR4	51.0	7.98796959403	37.0	16.5407138249
2	NM_001143986	TLE6	1.0	0.303893538965	1.0	0.354984424806
3	NM_001143987	NBPF6	0.0	-	0.0	-
4	NM_001143980	CCDC154	0.0	-	0.0	-
5	NM_001003803	ATP5S	49.0	16.2063377159	46.0	43.3179605048
6	NM_001003800	BICD2	267.0	25.3940564848	257.0	61.0693474082
7	NM_016649	ESF1	27.0	5.12310078002	26.0	6.20722765348
8	NM_016647	THEM6	60.0	16.1718611195	56.0	54.5011493932
9	NM_016644	PRR16	25.0	8.15799767703	4.0	2.88519255906
10	NM_017417	GALNT8	0.0	-	0.0	-
11	NM_016642	SPTBN5	1.0	0.0520530773899	1.0	0.0553485919494
12	NM_001143989	NBPF4	0.0	-	0.0	-
13	NM_016640	MRPS30	103.0	37.5911945592	100.0	46.2286535032
14	NM_001304464	SNRPE	140.0	52.8000937416	1.0	2.39301265193
15	NM_003279	TNNC2	50.0	44.8031003115	47.0	59.3794133196
16	NM_001012980	SATL1	0.0	-	0.0	-
17	NM_001304467	EEF1AKMT2	57.0	9.50339860541	5.0	4.75247839752
18	NM_001080825	TMEM120B	26.0	2.1126063758	21.0	12.5633164226
19	NM_001008781	FAT3	399.0	12.7829617405	392.0	17.4934579996
20	NM_017419	ASIC5	0.0	-	0.0	-
21	NM_001040	SHBG	1.0	0.462637017621	1.0	0.504729715668
22	NM_002223	ITPR2	9.0	0.436459034903	9.0	0.677518385909
23	NM_001143981	CHRDL1	0.0	-	0.0	-
24	NM_001253384	RPL15	21.0	3.1774318748	21.0	29.2570382445
25	NM_001145313	FSD1L	7.0	0.552590890517	3.0	1.14918686675
26	NM_205859	OR2K2	0.0	-	0.0	-
27	NM_018476	BEX1	0.0	-	0.0	-
28	NM_003363	USP4	105.0	15.551678096	103.0	21.7332217507
29	NM_144585	SLC22A12	0.0	-	0.0	-
30	NM_205856	SPACA5	0.0	-	0.0	-
31	NM_207118	GTF2H5	27.0	2.20089394984	18.0	50.8515188535
32	NM_205853	MUSTN1	0.0	-	0.0	-
33	NM_205852	CLEC12B	0.0	-	0.0	-
34	NM_001282735	SPATS2L	787.0	75.119934937	689.0	250.709813882
35	NM_001355213	OR10D3	0.0	-	0.0	-
36	NM_001007531	NKAPL	0.0	-	0.0	-
37	NM_001282730	SUPT7L	142.0	18.300103089	71.0	34.9681146596
38	NM_004108	FCN2	0.0	-	0.0	-
39	NM_004109	FDX1	30.0	5.80239200864	26.0	28.5867997879
40	NM_004106	FCER1G	2.0	2.06503629862	1.0	2.33800086683
41	NM_001291976	SPARCL1	0.0	-	0.0	-
42	NM_130759	GIMAP1	0.0	-	0.0	-
43	NM_181776	SLC36A2	0.0	-	0.0	-
44	NM_001462	FPR2	0.0	-	0.0	-
45	NM_001463	FRZB	0.0	-	0.0	-
46	NM_004101	F2RL2	28.0	4.98282599439	17.0	9.22107541877
47	NM_000331	SAA1	0.0	-	0.0	-
48	NM_007102	GUCA2B	0.0	-	0.0	-
49	NM_007101	SARDH	17.0	3.071871438	16.0	3.54134625313
50	NM_007100	ATP5ME	156.0	260.805598065	85.0	246.993091574
51	NM_000334	SCN4A	0.0	-	0.0	-
52	NM_007105	SLC22A18AS	1.0	0.265427675616	1.0	0.800811320528
53	NM_181435	C1QTNF3	2.0	0.31898495883	1.0	0.635643985669
54	NM_000339	SLC12A3	0.0	-	0.0	-
55	NM_000486	AQP2	0.0	-	0.0	-
56	NM_000485	APRT	186.0	140.645093037	160.0	179.806475504
57	NM_007108	ELOB	323.0	199.091401087	320.0	546.974320441
58	NM_000483	APOC2	0.0	-	0.0	-
59	NM_000482	APOA4	0.0	-	0.0	-
60	NM_000481	AMT	0.0	-	0.0	-
61	NM_016643	ZNF771	42.0	17.6145467369	31.0	19.8288941441
62	NM_030615	KIF25	0.0	-	0.0	-
63	NM_001350532	SNX14	53.0	8.48414637745	46.0	9.66599118703
64	NM_001350531	LARP1B	6.0	0.845177598673	2.0	0.640649056422
65	NM_001350530	MIER1	118.0	12.7173703102	101.0	34.0696743231
66	NM_001320272	PLD5	4.0	0.736978534109	1.0	0.457092304301
67	NM_030613	ZFP2	0.0	-	0.0	-
68	NM_014177	TIMM21	38.0	15.1162272472	23.0	18.7885129901
69	NM_020992	PDLIM1	15.0	5.79321100863	13.0	8.01296660722
70	NM_005802	TOPORS	53.0	7.75019554058	48.0	9.33412200753
71	NM_005258	GCHFR	0.0	-	0.0	-
72	NM_001012964	KLK6	0.0	-	0.0	-
73	NM_003824	FADD	76.0	25.027838745	54.0	52.554679772
74	NM_003825	SNAP23	72.0	16.6360137408	59.0	56.6082945728
75	NM_003826	NAPG	69.0	11.3337974726	60.0	38.9915799516
76	NM_003827	NAPA	220.0	72.1763493405	168.0	115.446691451
77	NM_003820	TNFRSF14	5.0	0.871491325681	2.0	1.4324371508
78	NM_003821	RIPK2	53.0	12.511244097	29.0	10.9034679982
79	NM_003795	SNX3	153.0	53.0473798949	104.0	129.780563454
80	NM_003823	TNFRSF6B	8.0	4.22661974886	8.0	5.40614153924
81	NM_012181	FKBP8	230.0	78.1895220254	205.0	100.720399662
82	NM_012180	FBXO8	34.0	8.09497451901	13.0	8.26337181369
83	NM_012183	FOXD3	2.0	0.590153023445	2.0	0.849294678138
84	NM_012182	FOXB1	0.0	-	0.0	-
85	NM_001018088	VPS13C	57.0	2.3830117084	55.0	3.08275947858
86	NM_020437	ASPHD2	32.0	5.8940486688	12.0	6.59695379721
87	NM_012186	FOXE3	0.0	-	0.0	-
88	NM_020733	HEG1	81.0	5.39839190974	71.0	10.4499503288
89	NM_020731	AHRR	29.0	3.12655981643	26.0	7.34521938995
90	NM_020737	LRFN2	0.0	-	0.0	-
91	NM_001025780	ABHD17B	65.0	12.7251154013	30.0	21.114817517
92	NM_001300829	CIRBP	345.0	118.67265392	272.0	185.65923662
93	NM_002224	ITPR3	329.0	22.2302952534	308.0	23.4465086929
94	NM_175856	CHSY3	17.0	2.97070728697	17.0	3.91608525712
95	NM_001688	ATP5PB	279.0	81.0332627899	198.0	156.709739035
96	NM_014171	CRIPT	64.0	6.13477324529	45.0	89.7379744474
97	NM_001199973	RPL36A-HNRNPH2	0.0	-	0.0	-
98	NM_001867	COX7C	233.0	349.338689716	111.0	352.782412046
99	NM_144646	JCHAIN	0.0	-	0.0	-
100	NM_144647	CAPSL	0.0	-	0.0	-
101	NM_144644	SPATA4	0.0	-	0.0	-
102	NM_144645	C4orf36	0.0	-	0.0	-
103	NM_144642	SYNPR	0.0	-	0.0	-
104	NM_144643	SCLT1	71.0	14.1818311172	26.0	7.67570095902
105	NM_001161546	PROB1	104.0	19.5209767854	104.0	20.8210943337
106	NM_144641	PPM1M	14.0	3.8885094071	11.0	4.86405832512
107	NM_133447	AGAP11	1.0	0.193413066955	0.0	-
108	NM_001008783	SLC35D3	3.0	0.761820507169	3.0	1.46335306053
109	NM_000159	GCDH	72.0	23.3328264947	58.0	26.8736956128
110	NM_000158	GBE1	68.0	13.3897513341	63.0	18.228424966
111	NM_144648	LRGUK	1.0	0.196211648309	1.0	0.246254328588
112	NM_144649	TMEM71	0.0	-	0.0	-
113	NM_021020	LZTS1	344.0	38.4530261636	294.0	100.169826083
114	NM_021021	SNTB1	179.0	21.9555904517	140.0	52.8327468608
115	NM_021023	CFHR3	0.0	-	0.0	-
116	NM_001347869	ZNF174	29.0	6.24209120318	7.0	5.69537011159
117	NM_021025	TLX3	7.0	2.86103655974	6.0	4.17957689207
118	NM_021026	RFPL1	0.0	-	0.0	-
119	NM_021027	UGT1A9	0.0	-	0.0	-
120	NM_015225	PRUNE2	31.0	1.50311998518	29.0	1.90960705309
121	NM_175068	KRT73	0.0	-	0.0	-
122	NM_001143679	GSTK1	41.0	20.4069716769	36.0	25.8749777912
123	NM_152694	RTL3	0.0	-	0.0	-
124	NM_173536	GABRG1	0.0	-	0.0	-
125	NM_173537	GTF2IRD2	0.0	-	0.0	-
126	NM_173535	CLEC4F	0.0	-	0.0	-
127	NM_001297658	TSSC4	82.0	24.4684080938	55.0	33.901012569
128	NM_001286495	FAM214A	3.0	0.432881219845	3.0	0.562931943028
129	NM_023009	MARCKSL1	1299.0	507.473416062	1013.0	1051.27731834
130	NM_173531	ZNF100	35.0	4.77799506006	31.0	11.612501543
131	NM_001286499	PIF1	25.0	5.6230946023	22.0	7.59751045689
132	NM_001297656	KIF2C	270.0	54.9562778804	257.0	77.7907163414
133	NM_001297650	CD163L1	0.0	-	0.0	-
134	NM_173538	CNBD1	0.0	-	0.0	-
135	NM_006885	ZFHX3	247.0	9.38388132747	234.0	12.8501678312
136	NM_001001952	OR5D18	0.0	-	0.0	-
137	NM_001001953	OR10G9	0.0	-	0.0	-
138	NM_002226	JAG2	127.0	13.2815278034	120.0	19.7003462871
139	NM_001001957	OR2W3	0.0	-	0.0	-
140	NM_001001954	OR5A2	0.0	-	0.0	-
141	NM_001001955	OR4C13	0.0	-	0.0	-
142	NM_001282864	SLC2A11	9.0	1.68258702089	7.0	2.65642262668
143	NM_001001958	OR7G3	0.0	-	0.0	-
144	NM_001001959	OR11L1	0.0	-	0.0	-
145	NM_152695	ZNF449	15.0	2.25505626845	15.0	5.87878830676
146	NM_015259	ICOSLG	11.0	2.03221328752	9.0	6.04176461626
147	NM_001282862	RASGEF1A	0.0	-	0.0	-
148	NM_001170700	DTHD1	0.0	-	0.0	-
149	NM_001319119	DNPEP	156.0	23.5047020478	99.0	42.6635624279
150	NM_001193653	C17orf62	136.0	34.2790907761	83.0	89.8016184009
151	NM_012184	FOXD4L1	0.0	-	0.0	-
152	NM_006272	S100B	1.0	0.537637203738	0.0	-
153	NM_182976	ZNF326	132.0	8.26904895431	105.0	36.6340273044
154	NM_006270	RRAS	41.0	25.3741858782	38.0	35.2942048664
155	NM_006271	S100A1	7.0	7.19112387827	2.0	4.28223316661
156	NM_003356	UCP3	7.0	1.76145467369	3.0	1.94957899758
157	NM_003357	SCGB1A1	0.0	-	0.0	-
158	NM_006274	CCL19	0.0	-	0.0	-
159	NM_003355	UCP2	122.0	45.2288114226	67.0	43.9619582346
160	NM_001002030	ECHDC1	59.0	15.3924221241	52.0	35.0235626541
161	NM_001170704	MBNL3	27.0	1.42871072741	19.0	14.921681208
162	NM_003358	UGCG	386.0	58.7099290452	259.0	133.372591221
163	NM_003359	UGDH	114.0	21.7730446922	85.0	34.9283159802
164	NM_001002034	FAM109B	0.0	-	0.0	-
165	NM_001145006	MUC7	0.0	-	0.0	-
166	NM_001002036	ASTL	0.0	-	0.0	-
167	NM_001042507	LGALS7B	0.0	-	0.0	-
168	NM_001324080	FAM177B	0.0	-	0.0	-
169	NM_004813	PEX16	46.0	14.7117601715	45.0	27.1610486458
170	NM_004814	SNRNP40	333.0	125.124796391	317.0	180.110966219
171	NM_004815	ARHGAP29	51.0	3.41352742551	37.0	5.96356956444
172	NM_020199	C5orf15	52.0	13.9111564071	50.0	38.2342247019
173	NM_004817	TJP2	113.0	14.593578744	102.0	17.4201676677
174	NM_004818	DDX23	168.0	31.3794496506	139.0	34.4378130116
175	NM_020196	XAB2	545.0	125.261368475	538.0	127.841668893
176	NM_020195	SDR39U1	44.0	21.8112119859	44.0	30.4417255722
177	NM_001330724	CDKL2	4.0	0.493205274797	1.0	0.356227802827
178	NM_014314	DDX58	27.0	3.4642329917	24.0	5.27186372563
179	NM_020191	MRPS22	96.0	52.211185133	91.0	51.2741076528
180	NM_001356505	CRYZL2P-SEC16B	0.0	-	0.0	-
181	NM_001303098	TMEM198	41.0	10.3856153076	25.0	14.0862933112
182	NM_032968	PCDH11X	1.0	0.072844482063	1.0	0.150894714699
183	NM_005663	NELFA	117.0	28.9284977594	112.0	42.1879267525
184	NM_001278267	NBPF20	0.0	-	0.0	-
185	NM_032961	PCDH10	132.0	9.56182405792	109.0	21.2980424785
186	NM_001100817	ELOA3B	0.0	-	0.0	-
187	NM_001199654	PMF1	0.0	-	0.0	-
188	NM_032965	CCL15	0.0	-	0.0	-
189	NM_001303095	ISG20L2	68.0	15.2386483233	44.0	25.2821110684
190	NM_001303096	WDR75	246.0	54.946443505	175.0	46.4094696186
191	NM_014313	TMEM50A	92.0	24.3875225084	58.0	74.6680530001
192	NM_003688	CASK	63.0	4.63401015589	58.0	12.7956099501
193	NM_003689	AKR7A2	87.0	20.2707085464	86.0	48.5914513489
194	NM_014310	RASD2	0.0	-	0.0	-
195	NM_003680	YARS	260.0	50.900461605	194.0	74.5950446698
196	NM_003681	PDXK	150.0	12.4011291067	122.0	79.2828792349
197	NM_003682	MADD	120.0	12.1719061086	115.0	14.193991913
198	NM_005667	RNF103	0.0	-	0.0	-
199	NM_003684	MKNK1	60.0	13.0295706671	48.0	20.9516987551
200	NM_003685	KHSRP	1010.0	189.637048771	983.0	280.826084455
201	NM_003687	PDLIM4	257.0	68.3338057273	249.0	153.015446459
202	NM_006416	SLC35A1	18.0	5.76281640732	18.0	10.8322762055
203	NM_006417	IFI44	102.0	36.0615637756	68.0	31.0822766925
204	NM_003175	XCL2	0.0	-	0.0	-
