AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	75.0	7.60032190829	49.0	14.1727165185
NM_001143986	TLE6	2.0	0.393238434989	2.0	0.459350074147
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	73.0	15.6212636191	71.0	43.2586552466
NM_001003800	BICD2	313.0	19.2605929975	284.0	43.6629417442
NM_016649	ESF1	42.0	5.15611888266	41.0	6.33304653283
NM_016647	THEM6	87.0	15.1716390545	73.0	45.9668761997
NM_016644	PRR16	48.0	10.1341960743	12.0	5.60016154226
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	0.0	-	0.0	-
NM_001143989	NBPF4	0.0	-	0.0	-
NM_016640	MRPS30	134.0	31.6415825896	128.0	38.2847407253
NM_001304464	SNRPE	267.0	65.1511994998	4.0	6.19311982321
NM_003279	TNNC2	67.0	38.8434112259	59.0	48.2274781264
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	89.0	9.6006048079	18.0	11.0694781887
NM_001080825	TMEM120B	33.0	1.73485696779	22.0	8.51553975691
NM_001008781	FAT3	404.0	8.37422171715	399.0	11.5203849717
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	1.0	0.299326299264	1.0	0.326560288444
NM_002223	ITPR2	27.0	0.847167408066	19.0	0.925415295566
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	30.0	2.93685635058	28.0	25.239084211
NM_001145313	FSD1L	13.0	0.663977755948	6.0	1.48704854512
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	150.0	14.374201046	140.0	19.1125845166
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	76.0	4.00823744903	53.0	96.875016679
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	813.0	50.2082995522	690.0	162.444757438
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	0.0	-	0.0	-
NM_001282730	SUPT7L	164.0	13.674565523	89.0	28.3601401105
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	25.0	3.12845791386	21.0	14.9388093033
NM_004106	FCER1G	0.0	-	0.0	-
NM_001291976	SPARCL1	0.0	-	0.0	-
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	37.0	4.26014038582	28.0	9.82641678615
NM_000331	SAA1	0.0	-	0.0	-
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	23.0	2.68897303547	23.0	3.29367498759
NM_007100	ATP5ME	259.0	280.153834742	167.0	313.969056751
NM_000334	SCN4A	1.0	0.0505844187994	1.0	0.0716406076446
NM_007105	SLC22A18AS	1.0	0.171731791531	0.0	-
NM_181435	C1QTNF3	0.0	-	0.0	-
NM_000339	SLC12A3	0.0	-	0.0	-
NM_000486	AQP2	0.0	-	0.0	-
NM_000485	APRT	287.0	140.409998222	257.0	186.862848809
NM_007108	ELOB	435.0	173.477731411	433.0	478.860872044
NM_000483	APOC2	2.0	1.08315881682	2.0	2.580466593
NM_000482	APOA4	0.0	-	0.0	-
NM_000481	AMT	0.0	-	0.0	-
NM_016643	ZNF771	43.0	11.6679654401	34.0	14.0708461392
NM_030615	KIF25	0.0	-	0.0	-
NM_001350532	SNX14	92.0	9.52850151183	80.0	10.876346797
NM_001350531	LARP1B	11.0	1.00252199354	5.0	1.03625036412
NM_001350530	MIER1	167.0	11.6449137969	153.0	33.392008002
NM_001320272	PLD5	5.0	0.596031685884	1.0	0.295738867962
NM_030613	ZFP2	0.0	-	0.0	-
NM_014177	TIMM21	45.0	11.5818203995	23.0	12.1561739502
NM_020992	PDLIM1	28.0	6.99665752179	25.0	9.96998456387
NM_005802	TOPORS	79.0	7.47426305047	71.0	8.93295366469
NM_005258	GCHFR	0.0	-	0.0	-
NM_001012964	KLK6	0.0	-	0.0	-
NM_003824	FADD	104.0	22.1588690922	78.0	49.1152923778
NM_003825	SNAP23	98.0	14.6503279422	76.0	47.1787194079
NM_003826	NAPG	92.0	9.77729414888	87.0	36.5799689238
NM_003827	NAPA	416.0	88.3019019954	322.0	143.163589156
NM_003820	TNFRSF14	10.0	1.12771033627	3.0	1.39018094623
NM_003821	RIPK2	62.0	9.46936406237	29.0	7.05454730323
NM_003795	SNX3	222.0	49.8000728965	165.0	133.218566749
NM_003823	TNFRSF6B	13.0	4.44376454847	12.0	5.24666297315
NM_012181	FKBP8	317.0	69.7243511015	283.0	89.9610491227
NM_012180	FBXO8	37.0	5.6995791584	16.0	6.58018981216
NM_012183	FOXD3	3.0	0.572743794095	3.0	0.824240895051
NM_012182	FOXB1	0.0	-	0.0	-
NM_001018088	VPS13C	54.0	1.46066148201	53.0	1.92201741551
NM_020437	ASPHD2	43.0	5.12432529893	18.0	6.40234684426
NM_012186	FOXE3	0.0	-	0.0	-
NM_020733	HEG1	112.0	4.82949710984	96.0	9.14179771298
NM_020731	AHRR	35.0	2.44141318119	32.0	5.8490576108
NM_020737	LRFN2	0.0	-	0.0	-
NM_001025780	ABHD17B	76.0	9.62645670306	40.0	18.2150583035
NM_001300829	CIRBP	478.0	106.380971709	378.0	166.933674429
NM_002224	ITPR3	354.0	15.4759419345	340.0	16.7459920369
NM_175856	CHSY3	28.0	3.16572705739	28.0	4.17316681179
NM_001688	ATP5PB	435.0	81.7434336493	286.0	146.45403006
NM_014171	CRIPT	115.0	7.13215672383	93.0	119.991696575
NM_001199973	RPL36A-HNRNPH2	0.0	-	0.0	-
NM_001867	COX7C	392.0	380.260600447	201.0	413.318172576
NM_144646	JCHAIN	0.0	-	0.0	-
NM_144647	CAPSL	0.0	-	0.0	-
NM_144644	SPATA4	1.0	0.320203883803	1.0	0.4300777655
NM_144645	C4orf36	0.0	-	0.0	-
NM_144642	SYNPR	0.0	-	0.0	-
NM_144643	SCLT1	89.0	11.5018702445	36.0	6.87625060196
NM_001161546	PROB1	138.0	16.7591423084	137.0	17.7457874855
NM_144641	PPM1M	14.0	2.5158668376	12.0	3.43314251069
NM_133447	AGAP11	2.0	0.250276633109	0.0	-
NM_001008783	SLC35D3	0.0	-	0.0	-
NM_000159	GCDH	119.0	24.9509056074	96.0	28.7789622764
NM_000158	GBE1	73.0	9.30017146733	66.0	12.3554061907
NM_144648	LRGUK	0.0	-	0.0	-
NM_144649	TMEM71	0.0	-	0.0	-
NM_021020	LZTS1	609.0	44.0447216956	524.0	115.511539751
NM_021021	SNTB1	279.0	22.1411813981	228.0	55.6691382995
NM_021023	CFHR3	0.0	-	0.0	-
NM_001347869	ZNF174	26.0	3.62084518764	13.0	6.84339740464
NM_021025	TLX3	11.0	2.9088581889	11.0	4.95767725573
NM_021026	RFPL1	0.0	-	0.0	-
NM_021027	UGT1A9	0.0	-	0.0	-
NM_015225	PRUNE2	42.0	1.31760654165	40.0	1.70416052112
NM_175068	KRT73	0.0	-	0.0	-
NM_001143679	GSTK1	39.0	12.5592529857	36.0	16.7411189567
NM_152694	RTL3	0.0	-	0.0	-
NM_173536	GABRG1	0.0	-	0.0	-
NM_173537	GTF2IRD2	0.0	-	0.0	-
NM_173535	CLEC4F	0.0	-	0.0	-
NM_001297658	TSSC4	103.0	19.8853657893	71.0	28.3147561614
NM_001286495	FAM214A	7.0	0.653506673234	7.0	0.84984001264
NM_023009	MARCKSL1	1875.0	473.925322578	1436.0	964.199241863
NM_173531	ZNF100	40.0	3.53298781861	24.0	5.81674237539
NM_001286499	PIF1	17.0	2.47393793159	16.0	3.57497578929
NM_001297656	KIF2C	334.0	43.9849912727	320.0	62.6684744015
NM_001297650	CD163L1	0.0	-	0.0	-
NM_173538	CNBD1	0.0	-	0.0	-
NM_006885	ZFHX3	329.0	8.08697216361	320.0	11.3696584227
NM_001001952	OR5D18	0.0	-	0.0	-
NM_001001953	OR10G9	0.0	-	0.0	-
NM_002226	JAG2	290.0	19.6221598512	274.0	29.1036643831
NM_001001957	OR2W3	0.0	-	0.0	-
NM_001001954	OR5A2	0.0	-	0.0	-
NM_001001955	OR4C13	0.0	-	0.0	-
NM_001282864	SLC2A11	17.0	2.0563093163	13.0	3.19188311784
NM_001001958	OR7G3	0.0	-	0.0	-
NM_001001959	OR11L1	0.0	-	0.0	-
NM_152695	ZNF449	9.0	0.875413278779	5.0	1.2678593087
NM_015259	ICOSLG	25.0	2.98827875211	23.0	9.98972710756
NM_001282862	RASGEF1A	1.0	0.120885299672	1.0	0.268579176006
NM_001170700	DTHD1	0.0	-	0.0	-
NM_001319119	DNPEP	250.0	24.3710733784	160.0	44.6114563536
NM_001193653	C17orf62	192.0	31.3109403701	122.0	85.4024635195
NM_012184	FOXD4L1	0.0	-	0.0	-
NM_006272	S100B	0.0	-	0.0	-
