AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	84.0	3.88798413194	50.0	6.6054361495
NM_001143986	TLE6	4.0	0.359219934027	4.0	0.419612348764
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	38.0	3.71408100894	29.0	8.0702527771
NM_001003800	BICD2	1152.0	32.3781678191	778.0	54.6322042655
NM_016649	ESF1	18.0	1.00930078478	17.0	1.19936733841
NM_016647	THEM6	425.0	33.8514014685	170.0	48.8928694894
NM_016644	PRR16	58.0	5.59307358242	29.0	6.18147021225
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	4.0	0.0615297814148	4.0	0.065425272338
NM_001143989	NBPF4	3.0	0.21648068053	2.0	0.188136053084
NM_016640	MRPS30	266.0	28.6886101857	255.0	34.8361695112
NM_001304464	SNRPE	139.0	15.4917481808	1.0	0.707170223065
NM_003279	TNNC2	92.0	24.3615468915	57.0	21.2809921164
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	168.0	8.2773694962	44.0	12.3589562349
NM_001080825	TMEM120B	171.0	4.10601299291	43.0	7.60207989794
NM_001008781	FAT3	1951.0	18.4711882095	1858.0	24.5027190278
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	1.0	0.136716002185	1.0	0.149155009828
NM_002223	ITPR2	31.0	0.44426453257	27.0	0.600649763854
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	129.0	5.76800508002	100.0	41.170869151
NM_001145313	FSD1L	23.0	0.53655282772	13.0	1.47160658472
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	70.0	3.06383215575	57.0	3.55419059206
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	51.0	1.2285264161	18.0	15.0273672401
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	1774.0	50.0395109976	1363.0	146.563875122
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	0.0	-	0.0	-
NM_001282730	SUPT7L	220.0	8.37851098499	128.0	18.6295690725
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	87.0	4.9726058316	52.0	16.8956345186
NM_004106	FCER1G	1.0	0.305124207921	0.0	-
NM_001291976	SPARCL1	0.0	-	0.0	-
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	58.0	3.05017427796	26.0	4.16758984793
NM_000331	SAA1	0.0	-	0.0	-
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	62.0	3.31073770407	53.0	3.46659614244
NM_007100	ATP5ME	311.0	153.649683672	150.0	128.806004915
NM_000334	SCN4A	3.0	0.0693126483849	2.0	0.0654430799788
NM_007105	SLC22A18AS	0.0	-	0.0	-
NM_181435	C1QTNF3	1.0	0.0471323593522	1.0	0.187842090502
NM_000339	SLC12A3	0.0	-	0.0	-
NM_000486	AQP2	0.0	-	0.0	-
NM_000485	APRT	547.0	122.230035395	335.0	111.252332054
NM_007108	ELOB	830.0	151.184421931	726.0	366.718272818
NM_000483	APOC2	0.0	-	0.0	-
NM_000482	APOA4	0.0	-	0.0	-
NM_000481	AMT	1.0	0.081893009483	0.0	-
NM_016643	ZNF771	194.0	24.0437875842	160.0	30.2437579675
NM_030615	KIF25	0.0	-	0.0	-
NM_001350532	SNX14	151.0	7.14312419704	112.0	6.95481459047
NM_001350531	LARP1B	27.0	1.1239305138	14.0	1.32524813456
NM_001350530	MIER1	250.0	7.96222213359	126.0	12.560187544
NM_001320272	PLD5	2.0	0.108893965508	0.0	-
NM_030613	ZFP2	0.0	-	0.0	-
NM_014177	TIMM21	110.0	12.9309809367	64.0	15.4498233473
NM_020992	PDLIM1	25.0	2.85329757724	20.0	3.64299811882
NM_005802	TOPORS	186.0	8.03764286603	166.0	9.53936123082
NM_005258	GCHFR	3.0	0.758745049992	0.0	-
NM_001012964	KLK6	0.0	-	0.0	-
NM_003824	FADD	240.0	23.3560807618	118.0	33.9374035279
NM_003825	SNAP23	177.0	12.0856221197	84.0	23.8169593994
NM_003826	NAPG	160.0	7.76649935425	73.0	14.0191413231
NM_003827	NAPA	645.0	62.5332378702	382.0	77.5737065639
NM_003820	TNFRSF14	14.0	0.721107596784	6.0	1.26991835832
NM_003821	RIPK2	106.0	7.39451107522	79.0	8.77753798129
NM_003795	SNX3	438.0	44.8771830762	156.0	57.5280807229
NM_003823	TNFRSF6B	52.0	8.11868152194	47.0	9.38586392406
NM_012181	FKBP8	1701.0	170.885025128	1321.0	191.798571248
NM_012180	FBXO8	82.0	5.76938328688	38.0	7.13799943906
NM_012183	FOXD3	20.0	1.74398846114	17.0	2.13332144536
NM_012182	FOXB1	0.0	-	0.0	-
NM_001018088	VPS13C	98.0	1.21075526681	95.0	1.57354630787
NM_020437	ASPHD2	205.0	11.158262424	107.0	17.3830085913
