AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	51.0	4.80486106686	39.0	10.4872485807
NM_001143986	TLE6	1.0	0.182795667492	1.0	0.213527458012
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	35.0	6.96307832592	26.0	14.7274632846
NM_001003800	BICD2	246.0	14.0734429987	230.0	32.8747473031
NM_016649	ESF1	28.0	3.19574117197	26.0	3.73372308623
NM_016647	THEM6	39.0	6.32292151617	33.0	19.3186158065
NM_016644	PRR16	29.0	5.69227663603	7.0	3.03708735492
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	3.0	0.093931681393	3.0	0.0998785579111
NM_001143989	NBPF4	1.0	0.146880232222	1.0	0.191472978781
NM_016640	MRPS30	101.0	22.1725022325	97.0	26.9728855541
NM_001304464	SNRPE	63.0	14.291954957	0.0	-
NM_003279	TNNC2	30.0	16.1697665341	27.0	20.5185298317
NM_001012980	SATL1	1.0	0.170563987139	1.0	0.193287888533
NM_001304467	EEF1AKMT2	53.0	5.31525850195	8.0	4.57387788565
NM_001080825	TMEM120B	21.0	1.02638185177	17.0	6.11756167206
NM_001008781	FAT3	348.0	6.7062890593	340.0	9.12668261737
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	0.0	-	0.0	-
NM_002223	ITPR2	12.0	0.350047238646	10.0	0.452817296229
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	26.0	2.36632685554	25.0	20.9505536714
NM_001145313	FSD1L	9.0	0.427358771399	8.0	1.84333308386
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	91.0	8.10725406054	84.0	10.6613107978
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	32.0	1.56902463403	23.0	39.0844217937
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	730.0	41.9129049329	587.0	128.479738873
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	0.0	-	0.0	-
NM_001282730	SUPT7L	90.0	6.97673348028	58.0	17.1824976745
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	21.0	2.44314665825	15.0	9.92037027901
NM_004106	FCER1G	1.0	0.62107225097	0.0	-
NM_001291976	SPARCL1	0.0	-	0.0	-
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	24.0	2.56905477042	23.0	7.50420898439
NM_000331	SAA1	0.0	-	0.0	-
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	10.0	1.0869224173	10.0	1.33135183287
NM_007100	ATP5ME	136.0	136.765214367	84.0	146.821480129
NM_000334	SCN4A	1.0	0.0470280205411	1.0	0.0666038287649
NM_007105	SLC22A18AS	1.0	0.159657981872	1.0	0.481697769453
NM_181435	C1QTNF3	1.0	0.0959366702361	1.0	0.382347604504
NM_000339	SLC12A3	0.0	-	0.0	-
NM_000486	AQP2	0.0	-	0.0	-
NM_000485	APRT	124.0	56.3998250807	112.0	75.7090505271
NM_007108	ELOB	291.0	107.891542216	283.0	290.969740032
NM_000483	APOC2	0.0	-	0.0	-
NM_000482	APOA4	0.0	-	0.0	-
NM_000481	AMT	1.0	0.166691053735	1.0	0.302849587726
NM_016643	ZNF771	39.0	9.83855279217	19.0	7.31029382195
NM_030615	KIF25	0.0	-	0.0	-
NM_001350532	SNX14	43.0	4.14042736461	34.0	4.29746067872
NM_001350531	LARP1B	6.0	0.508384626487	4.0	0.770716431125
NM_001350530	MIER1	131.0	8.49241164648	115.0	23.3339831604
NM_001320272	PLD5	5.0	0.554126963049	1.0	0.274946592003
NM_030613	ZFP2	0.0	-	0.0	-
