AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	51.0	4.54101078192	37.0	9.40308534418
NM_001143986	TLE6	1.0	0.172757772892	1.0	0.201801982529
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	49.0	9.21299880239	46.0	24.6254474792
NM_001003800	BICD2	267.0	14.4360444712	257.0	34.7167777444
NM_016649	ESF1	27.0	2.91238663406	26.0	3.52869241282
NM_016647	THEM6	60.0	9.19339950444	56.0	30.9828804564
NM_016644	PRR16	25.0	4.63766855572	4.0	1.64017781545
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	1.0	0.0295911974723	1.0	0.0314646356433
NM_001143989	NBPF4	0.0	-	0.0	-
NM_016640	MRPS30	103.0	21.3698885291	100.0	26.2801218157
NM_001304464	SNRPE	140.0	30.0158622469	1.0	1.36038277634
NM_003279	TNNC2	50.0	25.4697215835	47.0	33.7560819347
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	57.0	5.40250373064	5.0	2.7016947661
NM_001080825	TMEM120B	26.0	1.20097707153	21.0	7.1420095758
NM_001008781	FAT3	399.0	7.2668738163	392.0	9.94470252474
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	1.0	0.263000460931	1.0	0.2869293697
NM_002223	ITPR2	9.0	0.24811876911	9.0	0.38515648553
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	21.0	1.80631038118	21.0	16.6320770943
NM_001145313	FSD1L	7.0	0.314137549259	3.0	0.653291163781
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	105.0	8.84083709626	103.0	12.3549286378
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	27.0	1.25116690023	18.0	28.9081339973
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	787.0	42.7042730284	689.0	142.523823429
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	0.0	-	0.0	-
NM_001282730	SUPT7L	142.0	10.4032651175	71.0	19.8787168408
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	30.0	3.29855094739	26.0	16.251059112
NM_004106	FCER1G	2.0	1.17393437552	1.0	1.32910960907
NM_001291976	SPARCL1	0.0	-	0.0	-
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	28.0	2.83264305135	17.0	5.24200829818
NM_000331	SAA1	0.0	-	0.0	-
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	17.0	1.7463012542	16.0	2.01318887468
NM_007100	ATP5ME	156.0	148.263087241	85.0	140.410936558
NM_000334	SCN4A	0.0	-	0.0	-
NM_007105	SLC22A18AS	1.0	0.150890651574	1.0	0.455246204682
NM_181435	C1QTNF3	2.0	0.181336961823	1.0	0.361351674966
NM_000339	SLC12A3	0.0	-	0.0	-
NM_000486	AQP2	0.0	-	0.0	-
NM_000485	APRT	186.0	79.9540955167	160.0	102.216606399
NM_007108	ELOB	323.0	113.17972462	320.0	310.944634593
NM_000483	APOC2	0.0	-	0.0	-
NM_000482	APOA4	0.0	-	0.0	-
NM_000481	AMT	0.0	-	0.0	-
NM_016643	ZNF771	42.0	10.0135391991	31.0	11.2723541373
NM_030615	KIF25	0.0	-	0.0	-
NM_001350532	SNX14	53.0	4.82307797017	46.0	5.49493456147
NM_001350531	LARP1B	6.0	0.480467601063	2.0	0.364196963745
NM_001350530	MIER1	118.0	7.22958631935	101.0	19.367970373
NM_001320272	PLD5	4.0	0.418958463729	1.0	0.259848395481
NM_030613	ZFP2	0.0	-	0.0	-
NM_014177	TIMM21	38.0	8.59329146204	23.0	10.6809169789
NM_020992	PDLIM1	15.0	3.29333172121	13.0	4.55522111473
NM_005802	TOPORS	53.0	4.40584069549	48.0	5.30627316203
