	AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
0	NM_001003806	TARP	0.0	-	0.0	-
1	NM_017847	ODR4	121.0	3.82353337835	62.0	5.59187560686
2	NM_001143986	TLE6	7.0	0.429173398531	6.0	0.429708394042
3	NM_001143987	NBPF6	0.0	-	0.0	-
4	NM_001143980	CCDC154	2.0	0.112379237693	2.0	0.122865723446
5	NM_001003803	ATP5S	82.0	5.47162021747	52.0	9.87931428154
6	NM_001003800	BICD2	1688.0	32.3896720479	1155.0	55.3713903432
7	NM_016649	ESF1	30.0	1.14842775087	26.0	1.25230744414
8	NM_016647	THEM6	479.0	26.0469906775	182.0	35.7357014203
9	NM_016644	PRR16	75.0	4.93762519624	43.0	6.25743801466
10	NM_017417	GALNT8	1.0	0.0576634449148	1.0	0.0643215542806
11	NM_016642	SPTBN5	3.0	0.0315051066006	3.0	0.0334997156171
12	NM_001143989	NBPF4	1.0	0.0492642876723	0.0	-
13	NM_016640	MRPS30	367.0	27.022669824	348.0	32.45665629
14	NM_001304464	SNRPE	216.0	16.4351509622	3.0	1.44837005756
15	NM_003279	TNNC2	193.0	34.8906179065	135.0	34.4100339763
16	NM_001012980	SATL1	0.0	-	0.0	-
17	NM_001304467	EEF1AKMT2	224.0	7.53469013553	51.0	9.77988193075
18	NM_001080825	TMEM120B	265.0	4.34414587838	52.0	6.27627024945
19	NM_001008781	FAT3	2665.0	17.2253912579	2553.0	22.9854866419
20	NM_017419	ASIC5	0.0	-	0.0	-
21	NM_001040	SHBG	1.0	0.0933369635277	1.0	0.101829160375
22	NM_002223	ITPR2	59.0	0.577253106468	46.0	0.698633965591
23	NM_001143981	CHRDL1	0.0	-	0.0	-
24	NM_001253384	RPL15	184.0	5.61678842061	147.0	41.318228012
25	NM_001145313	FSD1L	46.0	0.732616678535	24.0	1.8547865144
26	NM_205859	OR2K2	0.0	-	0.0	-
27	NM_018476	BEX1	0.0	-	0.0	-
28	NM_003363	USP4	126.0	3.76505905741	101.0	4.29953559619
29	NM_144585	SLC22A12	0.0	-	0.0	-
30	NM_205856	SPACA5	0.0	-	0.0	-
31	NM_207118	GTF2H5	93.0	1.52943698972	32.0	18.2387340582
32	NM_205853	MUSTN1	0.0	-	0.0	-
33	NM_205852	CLEC12B	0.0	-	0.0	-
34	NM_001282735	SPATS2L	2571.0	49.5103316956	1935.0	142.051678723
35	NM_001355213	OR10D3	0.0	-	0.0	-
36	NM_001007531	NKAPL	3.0	0.222222842767	3.0	0.305487481124
37	NM_001282730	SUPT7L	334.0	8.68410262603	204.0	20.2701669073
38	NM_004108	FCN2	0.0	-	0.0	-
39	NM_004109	FDX1	130.0	5.07273823648	77.0	17.0803279761
40	NM_004106	FCER1G	2.0	0.416620828741	0.0	-
