AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	120.0	7.44515480922	93.0	16.4687915245
NM_001143986	TLE6	4.0	0.481512668272	4.0	0.562465059855
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	95.0	12.4462542818	81.0	30.2149199341
NM_001003800	BICD2	549.0	20.6832806033	501.0	47.1578656915
NM_016649	ESF1	74.0	5.56195043563	69.0	6.52528787309
NM_016647	THEM6	152.0	16.2285082331	132.0	50.8882862048
NM_016644	PRR16	62.0	8.01422475257	19.0	5.42868537823
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	0.0	-	0.0	-
NM_001143989	NBPF4	0.0	-	0.0	-
NM_016640	MRPS30	294.0	42.5032845006	281.0	51.4569242514
NM_001304464	SNRPE	418.0	62.4466577624	3.0	2.84375717027
NM_003279	TNNC2	173.0	61.4059459453	148.0	74.067215739
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	213.0	14.0672741988	20.0	7.53019811441
NM_001080825	TMEM120B	49.0	1.57713030814	38.0	9.00523103918
NM_001008781	FAT3	580.0	7.36059371524	578.0	10.2174776785
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	0.0	-	0.0	-
NM_002223	ITPR2	29.0	0.557089837456	22.0	0.656035764668
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	121.0	7.25218013791	119.0	65.6726113636
NM_001145313	FSD1L	27.0	0.844297892078	15.0	2.27607683119
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	202.0	11.8512889839	184.0	15.3791017092
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	120.0	3.87474260442	85.0	95.1210442369
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	1198.0	45.296385523	1039.0	149.759340782
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	0.0	-	0.0	-
NM_001282730	SUPT7L	268.0	13.6812646967	128.0	24.9718143765
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	95.0	7.27839592707	78.0	33.9713694394
NM_004106	FCER1G	1.0	0.409000608245	1.0	0.926127814072
NM_001291976	SPARCL1	2.0	0.160132069873	1.0	0.149209481156
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	37.0	2.60822872572	28.0	6.01612628021
NM_000331	SAA1	0.0	-	0.0	-
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	44.0	3.14943790844	42.0	3.68234062309
NM_007100	ATP5ME	512.0	339.069348082	289.0	332.651880417
NM_000334	SCN4A	0.0	-	0.0	-
NM_007105	SLC22A18AS	1.0	0.1051410872	1.0	0.317217007182
NM_181435	C1QTNF3	0.0	-	0.0	-
NM_000339	SLC12A3	0.0	-	0.0	-
NM_000486	AQP2	0.0	-	0.0	-
NM_000485	APRT	473.0	141.676898427	432.0	192.307114719
NM_007108	ELOB	1149.0	280.54095357	1140.0	771.876946215
NM_000483	APOC2	2.0	0.663153249582	2.0	1.57986509459
NM_000482	APOA4	0.0	-	0.0	-
NM_000481	AMT	0.0	-	0.0	-
NM_016643	ZNF771	102.0	16.9452746847	68.0	17.2294721637
NM_030615	KIF25	0.0	-	0.0	-
NM_001350532	SNX14	161.0	10.2090285612	117.0	9.7386932019
NM_001350531	LARP1B	25.0	1.39496398588	9.0	1.14198122586
