	AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
0	NM_001003806	TARP	0.0	-	0.0	-
1	NM_017847	ODR4	84.0	3.9097111023	50.0	6.64234888128
2	NM_001143986	TLE6	4.0	0.36122733956	4.0	0.421957241324
3	NM_001143987	NBPF6	0.0	-	0.0	-
4	NM_001143980	CCDC154	0.0	-	0.0	-
5	NM_001003803	ATP5S	38.0	3.73483616772	29.0	8.11535124893
6	NM_001003800	BICD2	1152.0	32.559104641	778.0	54.9375018805
7	NM_016649	ESF1	18.0	1.01494099511	17.0	1.20606968537
8	NM_016647	THEM6	425.0	34.0405710667	170.0	49.1660943509
9	NM_016644	PRR16	58.0	5.62432899391	29.0	6.21601372259
10	NM_017417	GALNT8	0.0	-	0.0	-
11	NM_016642	SPTBN5	4.0	0.0618736243142	4.0	0.0657908841574
12	NM_001143989	NBPF4	3.0	0.217690425521	2.0	0.189187401626
13	NM_016640	MRPS30	266.0	28.8489288912	255.0	35.030842225
14	NM_001304464	SNRPE	139.0	15.5783197156	1.0	0.711122056702
15	NM_003279	TNNC2	92.0	24.4976849489	57.0	21.3999153088
16	NM_001012980	SATL1	0.0	-	0.0	-
17	NM_001304467	EEF1AKMT2	168.0	8.323625385	44.0	12.428020991
18	NM_001080825	TMEM120B	171.0	4.12895835985	43.0	7.64456210954
19	NM_001008781	FAT3	1951.0	18.5744095563	1858.0	24.6396459884
20	NM_017419	ASIC5	0.0	-	0.0	-
21	NM_001040	SHBG	1.0	0.137480003381	1.0	0.149988523126
22	NM_002223	ITPR2	31.0	0.446747187334	27.0	0.604006336096
23	NM_001143981	CHRDL1	0.0	-	0.0	-
24	NM_001253384	RPL15	129.0	5.80023804989	100.0	41.4009416573
25	NM_001145313	FSD1L	23.0	0.539551211197	13.0	1.47983026865
26	NM_205859	OR2K2	0.0	-	0.0	-
27	NM_018476	BEX1	0.0	-	0.0	-
28	NM_003363	USP4	70.0	3.0809535709	57.0	3.57405224556
29	NM_144585	SLC22A12	0.0	-	0.0	-
