AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	83.0	6.18624907474	62.0	13.1894685247
NM_001143986	TLE6	2.0	0.289224144328	2.0	0.337848796865
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	91.0	14.3223169227	83.0	37.1938678938
NM_001003800	BICD2	427.0	19.3255462074	389.0	43.9868477073
NM_016649	ESF1	61.0	5.50784934554	52.0	5.90759551138
NM_016647	THEM6	106.0	13.5955787703	89.0	41.2183614683
NM_016644	PRR16	57.0	8.85118680836	15.0	5.14860001606
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	1.0	0.0247701988318	1.0	0.0263384164087
NM_001143989	NBPF4	0.0	-	0.0	-
NM_016640	MRPS30	224.0	38.9027231835	216.0	47.5168976027
NM_001304464	SNRPE	405.0	72.6849947879	3.0	3.41624754007
NM_003279	TNNC2	116.0	49.4628498459	101.0	60.7215013074
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	144.0	11.4248278389	18.0	8.14152451137
NM_001080825	TMEM120B	36.0	1.3919730323	31.0	8.82530614517
NM_001008781	FAT3	415.0	6.32688255242	413.0	8.77046730248
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	0.0	-	0.0	-
NM_002223	ITPR2	19.0	0.438467756275	14.0	0.501521659595
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	93.0	6.69611624206	90.0	59.6673371724
NM_001145313	FSD1L	17.0	0.638612897205	10.0	1.82285650286
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	180.0	12.6865503308	171.0	17.1698333316
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	98.0	3.80140822986	72.0	96.7936803019
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	1038.0	47.1477429157	878.0	152.030145447
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	1.0	0.17471783448	1.0	0.240182829533
NM_001282730	SUPT7L	242.0	14.8410162406	122.0	28.5928062877
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	90.0	8.28345283091	71.0	37.1478448726
NM_004106	FCER1G	0.0	-	0.0	-
NM_001291976	SPARCL1	1.0	0.0961845117276	1.0	0.179247556115
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	39.0	3.30267150636	31.0	8.00161090496
NM_000331	SAA1	1.0	0.407266537035	1.0	0.786940490259
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	42.0	3.6114905887	38.0	4.00235021923
NM_007100	ATP5ME	412.0	327.7725722	218.0	301.443175797
NM_000334	SCN4A	2.0	0.0744089790918	2.0	0.105382341102
NM_007105	SLC22A18AS	0.0	-	0.0	-
NM_181435	C1QTNF3	0.0	-	0.0	-
NM_000339	SLC12A3	0.0	-	0.0	-
NM_000486	AQP2	0.0	-	0.0	-
NM_000485	APRT	395.0	142.131984086	355.0	189.843958603
NM_007108	ELOB	909.0	266.622592104	894.0	727.172690671
NM_000483	APOC2	1.0	0.398327902477	1.0	0.948957650019
NM_000482	APOA4	0.0	-	0.0	-
NM_000481	AMT	0.0	-	0.0	-
NM_016643	ZNF771	68.0	13.5710727021	41.0	12.4796883408
NM_030615	KIF25	0.0	-	0.0	-
NM_001350532	SNX14	125.0	9.5219386446	86.0	8.59943853922
NM_001350531	LARP1B	18.0	1.20656942205	4.0	0.609723970406
NM_001350530	MIER1	270.0	13.8472061188	242.0	38.8458882804
NM_001320272	PLD5	2.0	0.175350870112	0.0	-
NM_030613	ZFP2	1.0	0.119596804327	1.0	0.209510130524
NM_014177	TIMM21	77.0	14.5758410363	57.0	22.1575894667
NM_020992	PDLIM1	44.0	8.08656063282	40.0	11.7325673093
NM_005802	TOPORS	102.0	7.09773931761	94.0	8.69847605007
NM_005258	GCHFR	3.0	1.2217996111	2.0	2.27749836004
NM_001012964	KLK6	0.0	-	0.0	-
NM_003824	FADD	156.0	24.4465420298	111.0	51.4071699211
NM_003825	SNAP23	197.0	21.6603805598	165.0	75.3347040086
