AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	258.0	10.9725684676	189.0	22.9422862699
NM_001143986	TLE6	3.0	0.247551229672	3.0	0.2891697901
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	0.0	-	0.0	-
NM_001003803	ATP5S	130.0	11.6749364036	121.0	30.9398287917
NM_001003800	BICD2	663.0	17.1220876074	576.0	37.1650743314
NM_016649	ESF1	218.0	11.2317646644	194.0	12.5761706601
NM_016647	THEM6	125.0	9.1483154664	95.0	25.1051954132
NM_016644	PRR16	58.0	5.13918117871	21.0	4.11297882302
NM_017417	GALNT8	0.0	-	0.0	-
NM_016642	SPTBN5	0.0	-	0.0	-
NM_001143989	NBPF4	0.0	-	0.0	-
NM_016640	MRPS30	387.0	38.3514893089	368.0	46.1935595604
NM_001304464	SNRPE	328.0	33.589448103	4.0	2.59912611337
NM_003279	TNNC2	102.0	24.8176469195	80.0	27.4441887747
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	254.0	11.4990026204	58.0	14.9692660501
NM_001080825	TMEM120B	94.0	2.0739365159	75.0	12.1834036564
NM_001008781	FAT3	977.0	8.49915057824	973.0	11.790298662
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	0.0	-	0.0	-
NM_002223	ITPR2	52.0	0.684741561299	48.0	0.981165298164
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	156.0	6.40920138792	147.0	55.6097273743
NM_001145313	FSD1L	40.0	0.85740900247	26.0	2.70436379969
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	0.0	-	0.0	-
NM_003363	USP4	360.0	14.4781418208	347.0	19.8810230067
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	247.0	5.46707047324	164.0	125.804923682
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	2185.0	56.6310062653	1837.0	181.502927984
NM_001355213	OR10D3	0.0	-	0.0	-
NM_001007531	NKAPL	0.0	-	0.0	-
NM_001282730	SUPT7L	462.0	16.1670035595	246.0	32.898139849
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	108.0	5.67194399067	88.0	26.2722477406
NM_004106	FCER1G	2.0	0.560725176742	2.0	1.26968804389
NM_001291976	SPARCL1	0.0	-	0.0	-
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	81.0	3.91403834002	61.0	8.98431259855
NM_000331	SAA1	0.0	-	0.0	-
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	37.0	1.81542455431	35.0	2.10348209665
NM_007100	ATP5ME	566.0	256.939638317	294.0	231.972005618
NM_000334	SCN4A	1.0	0.0212292491643	1.0	0.0300661022913
NM_007105	SLC22A18AS	0.0	-	0.0	-
NM_181435	C1QTNF3	0.0	-	0.0	-
NM_000339	SLC12A3	0.0	-	0.0	-
NM_000486	AQP2	0.0	-	0.0	-
NM_000485	APRT	575.0	118.059747947	471.0	143.723776172
NM_007108	ELOB	911.0	152.472220143	886.0	411.218881508
NM_000483	APOC2	0.0	-	0.0	-
NM_000482	APOA4	0.0	-	0.0	-
NM_000481	AMT	0.0	-	0.0	-
NM_016643	ZNF771	99.0	11.2740444557	60.0	10.4210245112
NM_030615	KIF25	0.0	-	0.0	-
NM_001350532	SNX14	323.0	14.039678799	256.0	14.6066591495
NM_001350531	LARP1B	67.0	2.56267714952	17.0	1.47863670623
NM_001350530	MIER1	501.0	14.6613986495	479.0	43.8737229295
NM_001320272	PLD5	7.0	0.350199283844	2.0	0.248231145659
NM_030613	ZFP2	0.0	-	0.0	-
NM_014177	TIMM21	158.0	17.0662958129	106.0	23.5121749814
NM_020992	PDLIM1	90.0	9.43828232624	75.0	12.5525977066
NM_005802	TOPORS	330.0	13.1030710784	298.0	15.7351492475
NM_005258	GCHFR	0.0	-	0.0	-
NM_001012964	KLK6	0.0	-	0.0	-
NM_003824	FADD	211.0	18.8675095156	146.0	38.5827213719
NM_003825	SNAP23	417.0	26.1622562727	351.0	91.4444900854
NM_003826	NAPG	271.0	12.0869858724	225.0	39.7031045673
NM_003827	NAPA	999.0	88.9938685149	761.0	141.997020814
NM_003820	TNFRSF14	11.0	0.52060473779	3.0	0.583430597632
NM_003821	RIPK2	196.0	12.5632807685	104.0	10.6175022376
NM_003795	SNX3	903.0	85.0124679681	655.0	221.942249021
NM_003823	TNFRSF6B	2.0	0.286916519008	2.0	0.366986245243
NM_012181	FKBP8	762.0	70.3393029372	638.0	85.1151021305
NM_012180	FBXO8	107.0	6.91739719112	49.0	8.45731270484
NM_012183	FOXD3	1.0	0.0801229640848	1.0	0.115305699184
NM_012182	FOXB1	0.0	-	0.0	-
NM_001018088	VPS13C	205.0	2.32716699055	202.0	3.07433145264
NM_020437	ASPHD2	114.0	5.70152400511	48.0	7.1651584747
NM_012186	FOXE3	0.0	-	0.0	-
NM_020733	HEG1	240.0	4.34323170976	227.0	9.07202213413
NM_020731	AHRR	65.0	1.90284961701	62.0	4.75603979773
NM_020737	LRFN2	0.0	-	0.0	-
NM_001025780	ABHD17B	237.0	12.5985071111	138.0	26.3734855621
NM_001300829	CIRBP	1329.0	124.130615021	1087.0	201.46498091
NM_002224	ITPR3	572.0	10.4946444164	541.0	11.182710921
NM_175856	CHSY3	63.0	2.98932996931	63.0	3.94063429703
NM_001688	ATP5PB	1455.0	114.747830344	1088.0	233.820216892
NM_014171	CRIPT	433.0	11.2701268382	354.0	191.685550861
NM_001199973	RPL36A-HNRNPH2	0.0	-	0.0	-
