AccNum	GeneName	txReads	txRPKM	cdReads	cdRPKM
NM_001003806	TARP	0.0	-	0.0	-
NM_017847	ODR4	135.0	4.80472656353	65.0	6.60289759841
NM_001143986	TLE6	3.0	0.207162623855	3.0	0.24199101146
NM_001143987	NBPF6	0.0	-	0.0	-
NM_001143980	CCDC154	1.0	0.0632865584513	1.0	0.0691920407019
NM_001003803	ATP5S	61.0	4.58445085288	41.0	8.77329449419
NM_001003800	BICD2	1557.0	33.6494611558	1082.0	58.4233018813
NM_016649	ESF1	58.0	2.50072427701	45.0	2.44121214026
NM_016647	THEM6	551.0	33.7465230173	200.0	44.2299360659
NM_016644	PRR16	74.0	5.48711383312	30.0	4.91705140307
NM_017417	GALNT8	1.0	0.0649465337549	1.0	0.0724455849356
NM_016642	SPTBN5	1.0	0.0118281028377	1.0	0.0125769478065
NM_001143989	NBPF4	1.0	0.0554865344405	0.0	-
NM_016640	MRPS30	406.0	33.6700388302	378.0	39.7074251032
NM_001304464	SNRPE	231.0	19.7964500927	4.0	2.17507215007
NM_003279	TNNC2	118.0	24.0264027149	85.0	24.4020128637
NM_001012980	SATL1	0.0	-	0.0	-
NM_001304467	EEF1AKMT2	274.0	10.3806209785	45.0	9.71921842757
NM_001080825	TMEM120B	274.0	5.05899770723	48.0	6.5252164502
NM_001008781	FAT3	2420.0	17.617433504	2287.0	23.1912653912
NM_017419	ASIC5	0.0	-	0.0	-
NM_001040	SHBG	1.0	0.105125738868	1.0	0.114690529005
NM_002223	ITPR2	32.0	0.352630309635	23.0	0.393436903532
NM_001143981	CHRDL1	0.0	-	0.0	-
NM_001253384	RPL15	188.0	6.46373412312	131.0	41.4716239572
NM_001145313	FSD1L	58.0	1.0404048221	19.0	1.65383310845
NM_205859	OR2K2	0.0	-	0.0	-
NM_018476	BEX1	1.0	0.160859454254	0.0	-
NM_003363	USP4	132.0	4.4425320735	108.0	5.17820600042
NM_144585	SLC22A12	0.0	-	0.0	-
NM_205856	SPACA5	0.0	-	0.0	-
NM_207118	GTF2H5	100.0	1.85226889616	31.0	19.9003997063
NM_205853	MUSTN1	0.0	-	0.0	-
NM_205852	CLEC12B	0.0	-	0.0	-
NM_001282735	SPATS2L	2385.0	51.7294112649	1896.0	156.768617041
NM_001355213	OR10D3	1.0	0.134622184045	1.0	0.147668636386
NM_001007531	NKAPL	2.0	0.166860228119	2.0	0.229381058009
NM_001282730	SUPT7L	315.0	9.22453381489	176.0	19.6967792766
NM_004108	FCN2	0.0	-	0.0	-
NM_004109	FDX1	165.0	7.25167676022	101.0	25.2337762275
NM_004106	FCER1G	1.0	0.234620726847	0.0	-
NM_001291976	SPARCL1	0.0	-	0.0	-
NM_130759	GIMAP1	0.0	-	0.0	-
NM_181776	SLC36A2	0.0	-	0.0	-
NM_001462	FPR2	0.0	-	0.0	-
NM_001463	FRZB	0.0	-	0.0	-
NM_004101	F2RL2	48.0	1.94100926778	21.0	2.58833585858
NM_000331	SAA1	0.0	-	0.0	-
NM_007102	GUCA2B	0.0	-	0.0	-
NM_007101	SARDH	74.0	3.03846694342	63.0	3.16852866257
NM_007100	ATP5ME	395.0	150.057631723	168.0	110.928679653
NM_000334	SCN4A	4.0	0.0710625750502	3.0	0.0754822262203
NM_007105	SLC22A18AS	1.0	0.0603135491808	1.0	0.181969618854
NM_181435	C1QTNF3	6.0	0.217450365238	2.0	0.288876769931
NM_000339	SLC12A3	0.0	-	0.0	-
NM_000486	AQP2	0.0	-	0.0	-
NM_000485	APRT	777.0	133.506171144	497.0	126.914258259
NM_007108	ELOB	1020.0	142.862693493	798.0	309.947781384
NM_000483	APOC2	0.0	-	0.0	-
NM_000482	APOA4	0.0	-	0.0	-
NM_000481	AMT	3.0	0.188911239192	1.0	0.114406641557
NM_016643	ZNF771	275.0	26.2073770659	214.0	31.1042157309
NM_030615	KIF25	0.0	-	0.0	-
NM_001350532	SNX14	324.0	11.7854447166	216.0	10.3136169099
NM_001350531	LARP1B	54.0	1.72845934363	17.0	1.23739340821
NM_001350530	MIER1	524.0	12.8326183633	256.0	19.6225414533
NM_001320272	PLD5	1.0	0.0418661985407	0.0	-
NM_030613	ZFP2	1.0	0.0571090813701	0.0	-
NM_014177	TIMM21	188.0	16.9936373654	112.0	20.7898462536
NM_020992	PDLIM1	30.0	2.63280094114	18.0	2.52110635576
NM_005802	TOPORS	340.0	11.297553044	302.0	13.3446706721
NM_005258	GCHFR	5.0	0.97237622417	2.0	1.08753607503
NM_001012964	KLK6	0.0	-	0.0	-
NM_003824	FADD	332.0	24.8437140076	148.0	32.7301526888
NM_003825	SNAP23	296.0	15.5409358091	98.0	21.3659799647
NM_003826	NAPG	304.0	11.3466751732	115.0	16.9818931844
NM_003827	NAPA	824.0	61.4282473349	460.0	71.8288184692
NM_003820	TNFRSF14	28.0	1.10896994798	11.0	1.79022223619
NM_003821	RIPK2	158.0	8.47520860021	111.0	9.48327436963
NM_003795	SNX3	753.0	59.3247839339	260.0	73.7256050866
NM_003823	TNFRSF6B	52.0	6.24273954759	47.0	7.21712063083
NM_012181	FKBP8	2259.0	174.504099817	1780.0	198.724889073
NM_012180	FBXO8	122.0	6.60032136057	53.0	7.65523440316
NM_012183	FOXD3	20.0	1.34101401902	18.0	1.73687911775
NM_012182	FOXB1	0.0	-	0.0	-
